psraid;qk9a;qk9b;qk9c;qk9d;qk9e;qk9f;qk9g;qk22a;qk22b;qk22c;qk22d;qk23a;qk23b;qk23c;qk23d;qk23e;qk25a;qk25b;qk25c;qk25d;qk26a;qk26b;qk26c;qk26d;qk26e;qk26f;qk21;qk24
200580;1;5;1;1;2;3;2;1;1;1;1;1;1;3;4;3;1;3;3;1;1;2;3;4;3;3;10;50
200584;2;1;1; ;3;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
200606;2;5;2;5;5;5;5;4;2;4;6;4;4;3;5;5;3;4;4;6;1;1;1;5;5;4;5;20
200657;2;5;5;4;5;2;2;4;3;5;5;4;4;5;5;5; ; ; ; ; ; ; ; ; ; ;1; 
200698;2;2;2;2;2;4;2;1;1;3;1;2;2;2;2;1;1;1;3;1;1;2;2;2;1;2;4;200
200719;3;3;5;3;5;4;4;3;1;4;4;2;1;4;4;2; ; ; ; ; ; ; ; ; ; ;5; 
200723;3;5;2;2;5;4; ;3;3;3;5;4;3;3;5;4;3;4;3;5;3;4;3;5;5;4;1;5
200735;3;5;1;1;4;4;3;1;2;3;1;2;3;2;3;3;2;5;3;2;1;5;5;5;3;2;15;25
200785;1;5;2;1;3;2;5;3;2;1;1;3;1;3;5;5;1;5;3;1;3;1;3;5;5;3;500;300
200798;4;4;2;4;5;5; ;4;2;4;5;3;3;4;5;4;3;3;4;5;3;3;3;5;4;5;2;3
200816;2;2;2;2;1;4;2;3;2;3;3;3;3;3;3;3;1;4;5;1;1;3;3;5;3;3;3;5
200879;1;1;1;1;1;2;1;1;1;1;1;1;1;2;5;1;1;1;1;1;1;2;2;2;1;1;80;200
200902;1;5;1;1;1;5;1;1;1;1;1;4;4;1;1;1;1;1;1;1;4;4;1;1;1;1;30;100
200912;1;2;5; ;2;5;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
200913;3;4;1;3;5;5;3;2;3;3;6;2;2;2;5;5;1;2;2;6;1;2;4;4;3;5;2;30
200949;3;1;2;3;4;5;4;4;4;4;4;3;2;4;4;5;1;2;1;1;3;2;2;4;4;4;2;50
200996;2;5;1;1;1;5;1;3;2;5;3;3;3;3;5;3;3;4;5;2;2;3;3;5;3;3;20;100
201052;1;1;1;1;1;4; ;1;2;2;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;50;200
201128;2;1;1; ;3;3;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
201137;2;3;1;1;2;5; ;2;1;2;2;3;3;4;4;4;1;4;5;1;2;4;4;3;4;4;15;50
201144;1;2;1;2;1;5;2;4;2;5;5;5;2;1;5;5;2;2;5;2;4;2;2;5;5;4;4;20
201170;2;3;5;3;5;4; ;4;3;3;5;4;5;4;4;5; ; ; ; ; ; ; ; ; ; ;1; 
201171;1;1;2; ;1;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
201223;3;1;1; ;1;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
201229;1;1;1;1;1;4;1;1;1;2;5;2;1;2;2;3;1;2;2;5;1;1;1;1;2;1;7;100
201241;3;3;2;3;2;4;2;3;1;1;2;3;1;4;4;4;1;1;1;1;2;2;2;3;2;3;10;100
201262;1;5;5; ;1;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
201355;3;2;1;1;2;4;3;1;2;2;1;2;2;2;2;2;1;2;2;1;1;2;2;2;1;1;1;500
201387;3;3;1;3;5;5;3;3;2;4;5;4;2;3;4;4;1;4;4;5;1;3;4;4;5;4;2;40
201425;5;2;1;1;5;5;5;1;1;1;1;1;5;5;1;1; ; ; ; ; ; ; ; ; ; ;8; 
201544;1;1;1;1;2;1;1;1;2;3;2;3;2;4;3;3;1;1;5;1;1;1;2;5;2;3;6;50
201556;1;4;1;1;1;1;1;1;1;5;1;1;1;2;5;3;1;1;5;1;1;1;1;5;5;5;15;140
201559;2;3;3;3;5;5; ;4;1;2;5;4;2;2;4;5;4;2;4;5;1;1;4;4;5;5;2;3
201606;1;1;1; ;2;5;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
201627;5;3;5; ;5;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
201658;2;4;1;2;1;3; ;2;2;5;4;3;4;4;2;4;1;4;4;3;3;4;4;4;4;4;2;20
201667;2;4;1;1;3;4;2;1;1;2;5;4;4;3;4;4;1;1;1;5;1;2;2;4;2;3;5;100
201686;3;2;1;2;2;2;2;3;1;1;6;1;2;5;1;4;1;1;1;6;3;1;3;2;4;4;3;200
201698;1;1;1;1;2;5;2;2;2;5;3;2;2;3;5;3;1;2;2;1;1;2;3;5;3;1;12;100
201701;1;1;1;1;3;1;1;2;2;4;3;5;3;4;5;5;1;1;2;1;5;1;5;5;1;1;5;100
201738;1;4;5; ;5;5;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
201765;2;2;1;1;5;5;5;2;2;5;5;2;5;5;1;2;2;5;5;5;1;5;5;1;5;5;2;4
