own_EBR;own_smartphone;own_iPad;bought_ebook;ebook_UB;emag_UB;type_1;type_2;type_3;type_4;type_5;type_6;type_7;type_8;interest_1;interest_2;interest_3;interest_4;interest_5;interest_6;interest_7;interest_8;interest_9;interest_10;reason_1;reason_2;reason_3;reason_4;reason_5;reason_6;reason_7;reason_8;newsletter;blogs;social_media;sex;age;faculty
maybe;maybe;no;yes;maybe;maybe;3;5;2;4;4;3;1;4;2;4;4;2;2;2;2;3;3;2;1;3;4;3;2;1;3;1;1;4;1;0;25;6
maybe;maybe;maybe;maybe;maybe;maybe;2;5;2;5;5;1;1;2;1;3;4;2;1;2;2;3;3;3;1;1;3;2;2;1;1;1;6;5;5;0;24;6
maybe;yes;maybe;yes;yes;yes;1;2;2;3;4;1;1;2;2;2;2;3;1;1;3;3;4;2;2;3;4;2;3;1;1;5;6;4;4;0;34;7
no;no;no;no;no;no;1;2;2;3;4;2;1;4;2;4;4;2;2;1;3;3;3;3;1;2;2;1;1;1;1;1;2;5;5;1;41;3
no;maybe;no;no;yes;yes;2;5;2;5;4;3;1;2;2;4;4;1;3;2;2;1;1;3;1;1;1;1;3;1;1;1;1;5;2;1;22;7
maybe;maybe;maybe;maybe;maybe;maybe;1;2;2;3;4;1;3;2;1;1;3;3;2;3;3;3;3;3;1;1;3;1;1;1;1;2;4;2;1;0;26;3
maybe;no;no;maybe;maybe;maybe;2;4;2;4;5;1;4;2;3;1;2;3;1;3;1;2;2;3;1;2;3;5;1;3;2;2;5;5;4;0;24;2
no;maybe;no;no;no;no;1;3;5;4;5;1;2;2;2;2;4;3;1;1;2;2;2;3;1;2;2;2;3;1;3;1;5;2;1;1;22;2
no;no;no;no;no;no;1;3;2;4;4;1;1;3;2;3;4;1;3;1;4;3;3;1;1;2;4;2;1;1;3;1;1;5;2;1;26;7
no;no;no;no;no;maybe;3;3;2;4;5;1;1;2;3;2;3;3;2;1;4;4;3;3;1;3;4;1;2;1;4;3;2;4;2;0;20;4
no;maybe;maybe;maybe;yes;yes;1;1;4;2;1;2;2;5;3;3;3;1;3;2;4;3;3;2;1;3;4;1;2;1;1;2;7;5;3;1;26;4
no;maybe;no;maybe;maybe;maybe;4;3;2;5;5;4;1;5;2;3;4;3;1;1;4;4;4;3;1;2;3;1;1;3;3;1;6;4;4;1;32;4
maybe;maybe;maybe;maybe;maybe;maybe;1;5;2;3;5;5;2;2;4;2;4;2;2;2;2;2;2;2;1;3;4;2;2;3;2;1;1;5;1;1;21;4
no;no;no;no;yes;yes;1;2;1;3;2;1;2;2;2;4;4;3;1;2;3;4;4;3;1;5;5;2;3;1;1;3;11;2;1;0;24;4
maybe;no;no;no;maybe;yes;2;4;5;3;5;1;2;2;1;1;4;2;2;2;2;3;4;2;1;1;2;1;1;1;1;1;3;5;2;1;25;7
no;yes;no;maybe;no;no;2;2;2;2;4;1;1;2;2;3;3;1;2;3;1;1;1;1;1;1;2;1;1;4;1;4;5;2;1;1;22;2
no;no;no;no;no;no;2;3;1;5;4;1;5;4;2;4;4;2;3;1;4;4;4;2;1;3;4;1;2;1;1;3;5;4;4;1;37;5
no;no;no;no;no;no;5;4;3;3;4;2;2;3;3;2;4;1;1;2;2;3;3;1;1;2;4;1;2;1;1;1;1;5;2;1;26;
no;no;no;maybe;no;no;2;4;5;5;3;1;5;5;2;4;4;1;2;1;4;4;4;3;1;1;2;1;1;1;2;1;1;5;5;0;47;3
maybe;yes;maybe;maybe;maybe;maybe;1;1;2;5;5;1;5;4;3;2;4;4;2;1;4;4;4;3;5;2;5;5;1;4;1;5;11;5;4;0;49;4
no;yes;no;no;no;no;1;1;1;5;5;5;1;2;1;4;4;2;2;2;2;2;2;3;1;1;1;1;1;1;1;1;2;5;1;1;21;2
yes;maybe;maybe;yes;yes;maybe;1;3;1;3;4;2;2;2;2;2;3;1;2;1;1;1;1;2;1;1;4;2;2;2;1;3;11;5;1;1;33;4
no;maybe;no;no;no;no;1;5;4;4;4;2;2;3;3;2;3;1;2;3;2;1;1;1;1;1;2;2;2;1;2;1;2;5;1;1;20;2
no;no;no;no;yes;yes;1;1;1;2;4;2;1;2;1;2;2;1;2;2;2;2;2;2;1;1;2;1;1;1;2;1;3;4;1;1;21;3
maybe;yes;maybe;maybe;maybe;maybe;2;2;4;5;5;2;5;3;2;3;3;2;2;2;2;1;1;3;1;1;2;2;2;1;2;1;1;5;5;1;27;5
maybe;yes;no;no;yes;maybe;1;1;1;5;5;1;5;2;1;3;4;2;1;3;2;1;1;3;1;2;1;1;3;1;2;1;3;2;1;1;22;6
maybe;maybe;no;maybe;maybe;maybe;2;3;2;5;5;2;1;3;1;2;3;1;2;2;1;2;3;2;1;3;4;4;1;2;2;1;4;3;1;1;24;5
no;no;no;no;yes;yes;1;3;4;5;5;5;2;2;2;3;4;2;2;1;2;1;2;1;1;2;5;1;1;1;3;1;3;3;5;1;25;5
no;yes;no;no;no;no;2;3;2;5;5;1;1;2;1;2;4;2;2;2;2;2;2;2;1;1;1;1;1;1;2;1;1;5;5;1;21;3
no;no;maybe;maybe;maybe;maybe;2;5;2;3;2;1;5;3;1;1;4;1;2;2;3;3;3;3;1;1;2;2;1;2;2;2;1;5;5;1;50;2
maybe;no;no;maybe;maybe;maybe;2;1;2;4;5;5;2;3;3;2;2;1;2;1;1;4;1;1;1;3;2;3;5;1;1;1;6;5;1;1;22;6
maybe;no;no;maybe;maybe;maybe;2;5;2;2;5;2;1;2;2;3;4;3;2;2;3;4;4;3;1;2;2;1;1;1;1;1;3;3;5;1;21;4
no;no;no;no;no;no;1;4;5;5;5;3;2;3;1;4;4;1;1;1;4;4;4;2;1;1;5;5;1;3;5;5;7;5;2;1;25;3
yes;yes;maybe;maybe;yes;maybe;2;2;1;3;1;2;4;3;2;2;1;3;2;2;1;3;1;2;4;2;3;1;2;3;2;3;17;2;4;0;25;4
maybe;no;no;maybe;maybe;maybe;1;3;2;5;3;5;4;4;2;4;4;1;3;3;2;2;2;3;1;1;3;1;1;1;1;1;1;5;2;1;27;5
