IDQ;hobby_1;hobby_2;hobby_3;hobby_4;hobby_5;hobby_6;hobby_7;hobby_8;hobby_9;hobby_10;hobby_11;hobby_12;own_mm_1;own_mm_2;own_mm_3;own_mm_4;own_mm_5;own_mm_6;own_mm_7;own_mm_8;own_mm_9;own_mm_10;own_mm_11;info_1;info_2;info_3;info_4;info_5;info_6;info_7;info_8;info_9;nq_kids;nq_gender;cam_crit_1;cam_crit_2;cam_crit_3;cam_crit_4;cam_crit_5;cam_crit_6;cam_brand;TV_crit_1;TV_crit_2;TV_crit_3;TV_crit_4;TV_crit_5;TV_crit_6;TV_brand;notebook_crit_1;notebook_crit_2;notebook_crit_3;notebook_crit_4;notebook_crit_5;notebook_crit_6;notebook_brand;vendor_TV;vendor_desktopPC;vendor_notebook;vendor_pocketcamera;vendor_SLRcamera
309;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;2;F;6;2;1;5;4;3;Sony;5;1;3;2;6;4;Philips;5;6;3;4;1;2;HP;V_7;V_7;V_99;V_99;V_99
310;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;1;1;1;0;1;0;1;1;0;1;0;0;0;0;0;1;1;2;F;4;3;1;2;5;6;Sony;3;6;5;2;1;4;Philips;5;6;2;4;1;3;Sony;V_4;V_4;V_4;V_4;V_7
311;1;0;1;1;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;1;0;0;1;1;0;0;1;2;F;6;4;2;1;5;3;Canon;6;1;4;3;5;2;Philips;6;4;1;3;2;5;Dell;V_6;V_6;V_6;V_6;V_6
312;1;0;0;1;0;0;0;1;1;0;0;0;1;1;0;1;1;1;1;1;0;1;1;1;1;0;0;1;1;0;0;0;1;M;5;6;3;1;4;2;Nikon;4;6;1;2;5;3;Other;2;4;3;6;5;1;HP;V_1;V_1;V_1;V_2;V_2
313;1;0;1;1;1;0;0;1;1;1;1;0;1;0;1;1;1;1;0;1;1;0;1;1;0;0;0;1;1;1;0;1;0;F;1;6;5;3;4;2;Canon;4;1;3;6;5;2;Sony;5;6;1;4;3;2;HP;V_4;V_99;V_99;V_1;V_1
314;1;0;1;1;0;0;0;1;1;0;0;1;1;1;1;1;1;1;0;1;1;1;0;0;1;1;1;1;1;0;0;1;1;M;5;6;2;4;3;1;Other;6;1;3;4;5;2;Panasonic;6;4;2;5;1;3;HP;V_2;V_99;V_7;V_1;V_6
315;0;1;1;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;0;0;1;0;1;0;1;2;F;6;2;1;4;5;3;Nikon;5;1;4;6;3;2;Sony;5;2;4;3;1;6;Apple;V_4;V_7;V_7;V_1;V_1
316;0;0;1;1;0;1;0;1;1;1;1;0;0;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;F;1;4;5;6;2;3;DontKnow;4;1;3;5;6;2;DontKnow;5;6;1;3;2;4;HP;V_7;V_4;V_4;V_1;V_1
317;0;1;1;0;1;0;0;0;0;1;1;1;1;0;0;1;0;1;1;1;0;1;1;0;0;0;0;0;0;1;1;1;2;F;4;1;5;3;6;2;Nikon;2;4;6;1;3;5;Samsung;4;5;2;3;1;6;Apple;V_6;V_99;V_1;V_6;V_6
318;0;0;1;0;1;1;0;1;1;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;M;5;2;3;1;4;6;DontKnow;5;1;2;4;3;6;DontKnow;6;4;1;2;5;3;Acer;V_1;V_1;V_1;V_99;V_99
